"paper_id","title","abstract","authors","year","document_type","venue","persistent_id","category_codes","african_relevance","source_url","download_urls","license_status","citation_count","citation_percentile","relevance_score","source_quality","is_retracted","metrics_date"
"MUFASA-000011","Geotechnical Properties of Lateritic Soil Stabilized with Banana Leaves Ash","Lateritic soil collected at the Federal University of Technology, Akure, Nigeria was tested after adding 2–10% banana-leaf ash. The ash improved soil strength and unsoaked CBR reached an optimum at 4% ash.","Emeka Segun Nnochiri; Olufikayo Aderinlewo","2016","journal_article","FUOYE Journal of Engineering and Technology","doi:10.46792/fuoyejet.v1i1.24","MAT-BLD-002; MAT-INF-001; MAT-RES-001","Nigeria; Akure; lateritic_soil; banana_leaf_ash; road_subgrade","https://journal.engineering.fuoye.edu.ng/index.php/engineer/article/view/24","https://journal.engineering.fuoye.edu.ng/index.php/engineer/article/view/24/pdf","copyright_notice_only | training_permission_unknown","","","0.99","peer_reviewed","false","2026-07-12"
"MUFASA-000012","Effects of Sesame Straw Ash as a Substitute for Cement on Strength Characteristics of Concrete","This study recycles sesame straw ash as a cement substitute in greener concrete. Replacement levels of 0–25% were tested; concrete with 10% ash exceeded the design strength at 28 days.","Tasiu A. Sulaiman; Stephen P. Ejeh; Adamu Lawan; Jibrin M. Kaura","2022","journal_article","FUOYE Journal of Engineering and Technology","doi:10.46792/fuoyejet.v7i2.813","MAT-BLD-003; MAT-RES-001","Nigeria; sesame_straw_ash; agricultural_waste; cement_import_substitution","https://journal.engineering.fuoye.edu.ng/index.php/engineer/article/view/813","https://journal.engineering.fuoye.edu.ng/index.php/engineer/article/view/813/465","CC-BY-NC-4.0 | noncommercial_training_only","","","0.97","peer_reviewed","false","2026-07-12"
"MUFASA-000013","Assessment of Compressive Strength of Concrete Produced with Fine Aggregate from Different Locations in Kaduna State","This research examined engineering properties of fine aggregate used in concrete works in Kaduna State and assessed how aggregate source affects concrete compressive strength.","Uwemedimo Nyong Wilson; Izzideen Balarabe; O. C. Eze; Abdullahi Adefila; M. A. Adole","2022","journal_article","FUTA Journal of Engineering and Engineering Technology","doi:10.51459/futajeet.2022.16.1.609","MAT-BLD-001","Nigeria; Kaduna State; local_aggregate; local_construction_materials","https://doi.org/10.51459/futajeet.2022.16.1.609","https://www.researchgate.net/publication/405048672_ASSESEMENT_OF_COMPRESSIVE_STRENGTH_OF_CONCRETE_PRODUCED_WITH_FINE_AGGREGATE_FROM_DIFFERENT_LOCATIONS_IN_KADUNA_STATE","CC-BY-NC-ND-4.0 | noncommercial_no_derivatives","","","0.95","peer_reviewed","false","2026-07-12"
"MUFASA-000014","Enhancing Asphalt Pavement Performance through Palm Kernel Shells Integration","The study evaluates locally available palm kernel shells as an asphalt-mixture modifier to improve pavement performance, addressing waste reuse and road-material needs in Nigeria.","O. S. Aderinola; G. O. Ata","2025","journal_article","FUTA Journal of Engineering and Engineering Technology","doi:10.51459/futajeet.2025.19.1.468","MAT-INF-001; MAT-RES-001","Nigeria; palm_kernel_shell; agricultural_waste; pavement_material","https://jeet.futa.edu.ng/jeet/article/view/468","","CC-BY-NC-ND-4.0 | noncommercial_no_derivatives","","","0.96","peer_reviewed","false","2026-07-12"
"MUFASA-000015","Differential Maturity across Lateritic Profiles from Ilorin, North Central Nigeria","This study characterizes upper crustal, middle gravelly and basal lateritic horizons near Ilorin using geotechnical tests. The gravelly middle horizon exhibited the highest maturity and expected engineering performance.","O. A. Odediran","2022","journal_article","LAUTECH Journal of Engineering and Technology","url:https://www.laujet.com/index.php/laujet/article/view/508","MAT-BLD-001; MAT-INF-001","Nigeria; Ilorin; local_laterite; tropical_construction_material","https://www.laujet.com/index.php/laujet/article/view/508","https://www.laujet.com/index.php/laujet/article/download/508/402","CC-BY-NC-ND-4.0 | noncommercial_no_derivatives","","","0.97","peer_reviewed","false","2026-07-12"
"MUFASA-000016","Influence of Elastobar and Zycoprime Nanochemicals on Concrete Properties with Coarse Aggregate Partially Replaced by Periwinkle Shell","This study tests concrete containing periwinkle shells collected from Ilaje, Lagos State as partial coarse-aggregate replacement, with Elastobar and Zycoprime additives, and evaluates grading and strength properties.","Destiny Ogenetega Jackson; Olatunji Sunday Olaniyan; Kingsley Obinna Obilor","2025","journal_article","LAUTECH Journal of Engineering and Technology","url:https://laujet.com/index.php/laujet/article/view/812","MAT-BLD-001; MAT-RES-002","Nigeria; Ilaje; periwinkle_shell; local_waste_material","https://laujet.com/index.php/laujet/article/view/812","","CC-BY-NC-ND-4.0 | noncommercial_no_derivatives","","","0.98","peer_reviewed","false","2026-07-12"
"MUFASA-000017","Rock Characteristics and Ball Mill Energy Requirements at Goldfields Ghana Limited, Tarkwa Gold Mine (TGM)","Goldfields Ghana Tarkwa Mine ores were characterized and compared with plant design parameters. Work index differed from design and simulation identified a suitable throughput for the required energy draw.","Charles Ebenezer Abbey; Kenneth Joseph Bansah; Greg Galecki; Kofi Agyeman Boateng","2015","journal_article","Ghana Mining Journal","url:https://journals.umat.edu.gh/index.php/gmj/article/view/46","MAT-MIN-001; MAT-MIN-002","Ghana; Tarkwa Gold Mine; local_gold_ore; mineral_processing","https://journals.umat.edu.gh/index.php/gmj/article/view/46","https://journals.umat.edu.gh/index.php/gmj/article/download/46/15/263","CC-BY | training_allowed","","","0.99","peer_reviewed","false","2026-07-12"
"MUFASA-000018","Characterisation of Small-Scale Gold Mining Tailings in the Western Region of Ghana","Artisanal small-scale gold mining tailings from five Ghanaian locations were assessed by size analysis, gold grade and deportment, and cyanidation, informing reprocessing of Ghanaian ASGM tailings.","I. J. Cobbinah; G. M. K. Gbedemah; Z. K. Nurudeen; A. K. Saim; R. K. Amankwah","2021","journal_article","Ghana Mining Journal","doi:10.4314/gm.v21i2.4","MAT-MIN-002; MAT-RES-002","Ghana; Western Region; ASGM_tailings; gold_recovery","https://doi.org/10.4314/gm.v21i2.4","","CC-BY | training_allowed","","","1","peer_reviewed","false","2026-07-12"
"MUFASA-000019","Optimising Blend Ratios, Grinds, and Reagent Schemes to Recover Platinum Group Metals from Lower Group Reef Spiral Tailings","Lower Group chromite spiral tailings from a South African chrome mine were blended and tested with flotation, grind and reagent changes to develop a practical PGM recovery route.","T. L. Moodley; I. Govender; S. Pikinini; J. Sehata; J. Tshilongo; M. Raedani","2026","journal_article","Journal of the Southern African Institute of Mining and Metallurgy","doi:10.17159/2411-9717/910/2026","MAT-MIN-001; MAT-MIN-002; MAT-RES-002","South Africa; Bushveld Igneous Complex; Lower Group chromitite; PGM_tailings","https://www.scielo.org.za/scielo.php?pid=S2225-62532026000200004&script=sci_arttext&tlng=en","https://saimm.org.za/Journal/v126n2p95.pdf","copyright_SAIMM | training_permission_unverified","","","1","peer_reviewed","false","2026-07-12"
"MUFASA-000020","Characterisation of the Reworked Residual Norite in the Rustenburg Region of South Africa","Twenty-six samples of reworked residual norite underlying tailings facilities in South Africa Rustenburg region were characterized using index and strength testing to assess tailings-storage stability.","E. Zannoni; T. Grobler; G. Heymann","2026","journal_article","Journal of the Southern African Institute of Mining and Metallurgy","doi:10.17159/2411-9717/983/2026","MAT-MIN-001; MAT-MIN-002","South Africa; Rustenburg; Bushveld Igneous Complex; tailings_storage_foundation","https://www.scielo.org.za/scielo.php?lng=en&nrm=iso&pid=S2225-62532026000400006&script=sci_arttext&tlng=en","https://www.scielo.org.za/pdf/jsaimm/v126n4/06.pdf","copyright_SAIMM | training_permission_unverified","","","0.98","peer_reviewed","false","2026-07-12"
